setBiosysID	geneEntrezID
198774	1021
105846	2237
137935	11200
106503	5923
128760	3127
106400	177
161013	4247
137910	9146
128760	608
137933	2885
173973	4792
117291	9652
130590	5291
161047	5330
137914	4734
82935	1892
138001	64223
137980	2904
167324	912
137939	4292
138019	6272
106555	8356
106157	348
83050	7220
83008	2618
83093	10000
498	120776
198906	7532
160961	5289
106050	7043
361	160851
105897	5347
154409	109
295	5538
137979	7031
106402	51014
83112	83439
161003	6708
198832	7291
137995	919
119558	57818
198782	10746
147795	7046
106518	6571
106327	9123
498	81300
132956	6677
106403	4214
443	391764
83030	92935
198782	5293
106223	207
119558	10599
96864	111
106028	5588
83089	5747
187196	11216
335	3030
83108	5295
83066	5579
82995	10331
187103	2634
82987	7167
83090	5170
473	182
198806	3146
105966	6143
106485	4851
407	54575
198837	54579
106067	6136
160951	29894
83110	53358
160976	5499
106402	387521
106538	2891
194385	949
83075	7064
106062	120425
479	1280
101143	7533
122131	59082
119548	10000
106359	57007
161053	5434
503	8379
83096	3174
516	3059
106413	3811
105821	5702
106463	983
132956	7384
105786	8900
198760	867
198805	1030
198832	1675
105943	5437
160956	5641
83079	8503
106404	10392
161020	185
198799	56998
169356	6548
105678	6709
148660	801
161013	5372
105973	6160
106561	55814
303	521
340	2744
106237	54344
143700	5567
119519	5062
106230	1973
82989	81490
160976	2167
490	9437
105769	7311
161013	51128
160948	4784
507	3117
105893	6118
137926	6011
106176	5715
528	861
147809	6416
187091	10454
106540	8607
138062	7280
106150	2638
106560	53981
106063	2888
106199	5236
83062	6868
137994	6714
187094	3559
96866	5592
105851	2237
83087	26658
106501	1020
105740	5684
121285	3678
83067	1499
83113	51384
106387	5606
187212	5708
105863	7158
160957	2253
137971	5879
187090	1147
193095	8647
106229	6606
460	3467
169349	3162
198864	5781
83072	6654
463	7532
153910	4153
105832	51434
105749	5692
198831	7364
106110	1284
83068	7448
105968	6217
138057	5605
198780	596
132956	80142
106485	5664
105698	2949
161061	552891
106459	208
160992	9491
356	55501
172846	2214
105898	51053
160135	64127
105744	5709
470	8717
198912	3248
471	122011
198845	5595
106420	723961
137989	860
480	926
100064	51135
106572	116085
137956	1387
187211	1994
83051	3566
83066	5293
193096	3456
173907	7157
198832	1592
504	84699
169295	22802
138042	11200
501	5563
116128	3627
170720	776
138030	23085
106138	1384
160961	2252
83071	55870
187097	83737
452	9978
82989	9468
105771	10213
119548	54331
522	207
106035	2316
503	29945
460	1237
105966	8662
198770	6850
187173	5054
106356	6387
106402	4791
484	722
83089	1399
126909	10393
106402	1147
137957	57787
505	948
106261	4621
198787	1738
105836	5691
160999	148738
436	10351
198759	5583
137914	1840
105968	6234
119552	920
193096	7297
187094	2889
106391	5605
137916	5601
106230	6218
83116	3066
106028	23759
187081	257397
83064	7048
106028	89953
175229	4686
187089	3656
83102	3576
106242	26224
105739	51434
119550	2792
106449	6233
106383	81341
83118	9063
105812	2491
106028	387
82926	5313
105820	5715
106438	535
512	515
105796	10197
462	4159
83086	4842
287	3098
119557	917
106572	5205
105974	1965
105983	7469
106534	2786
198874	3984
83031	1558
138057	4609
530	1147
194324	2169
105826	51433
101143	5970
187094	5777
83039	29935
137981	7534
502	5338
167324	5332
106502	64333
138014	3383
152657	959
187200	5593
106003	51497
480	29851
470	330
327	221
187097	351
106397	1848
160941	10197
105897	6117
198860	4697
103421	4357
492	7410
106569	7019
106206	5236
105722	7366
161033	5170
198765	1909
83071	22800
106244	7846
187102	3093
83102	155066
83098	317
106387	4615
106114	6576
160955	6189
83054	4088
483	5567
105977	6202
122191	5970
462	1511
106356	50649
441	9349
119548	4158
198845	3265
193096	1435
138060	5600
132956	8509
512	4726
173973	7122
105903	23471
320	6839
459	3360
106017	5692
83103	9076
106096	1803
119548	116
138057	378
290	7358
161020	5741
106128	3032
106356	3361
121285	60
198860	4694
106067	6159
138068	5604
119522	998
198846	2877
485	3812
82986	1607
172845	4337
198776	2904
106057	2815
153859	3920
106386	3123
106383	441670
137940	3091
161020	3640
106238	9488
524	5605
106425	8660
138378	91734
456	84647
198776	2890
83053	4161
106351	10818
106465	5906
106028	56992
169306	107
138070	11214
106023	1174
187178	108
490	2215
198766	7057
105891	2967
198835	8643
476	5530
106356	147
101143	3265
105998	6880
83067	55742
105885	7508
288	5106
105743	7311
106197	276
102181	409
83122	8970
105937	83443
83049	7039
460	650
105654	8772
429	60481
537	4261
138054	9855
137914	5467
462	10886
106551	2068
198823	731
106495	1385
96865	26985
498	283160
119549	59350
503	5139
187096	6850
106471	5575
106356	5880
132956	1559
187348	57731
187202	5023
198845	5286
138060	207
106439	808
138019	65078
105937	4677
106428	2475
83033	54576
198884	11035
187200	5138
169352	27121
187226	51046
198847	7976
106444	9181
460	3444
83077	282618
169642	4843
106402	3551
290	54577
138061	5970
106444	7409
105996	9150
137957	1385
105937	3191
160962	4709
198759	2783
105890	5430
160984	7054
200309	50617
160141	3656
106439	135
83051	3589
522	7157
106493	94235
300	6898
105812	80152
193147	4688
106572	2557
498	26338
106142	6713
198855	3592
106356	7074
358	64131
83089	4342
198802	4773
167325	29927
198843	56853
106265	4860
119532	25945
106493	2782
106424	11344
83042	28965
491	3845
169642	51135
106003	6829
198805	901
83102	9550
478	5604
119548	6010
160960	2248
105682	3007
161018	5372
456	408
177876	1978
83065	5879
106484	9252
83090	2889
106572	57181
83077	5295
198874	54961
528	1488
106413	3688
198870	4695
167324	5747
119522	79784
187097	5094
106356	207
137934	6241
106396	1386
82995	2651
83100	55567
82986	4023
106590	8613
106028	9630
83002	125061
138147	435
171868	1281
106229	11097
512	125965
138050	5599
106028	1609
474	7474
137929	3593
478	5295
160948	2975
106513	3768
137955	2064
200269	3553
106148	1582
299	9023
106398	1849
198789	8324
105664	598
106144	3295
442	11128
105648	2339
105967	6230
309	50484
105739	5984
160954	8106
456	5778
187103	51447
105909	2785
198846	348303
83087	219954
82944	271
105937	2968
161034	2904
160140	54472
83045	4292
303	4700
137938	3320
198877	4214
106459	5335
137948	4091
198771	4999
119546	23557
137968	4089
105903	6144
138058	2002
187089	5608
137950	4036
83059	5594
106332	6209
298	8435
132956	3073
516	23643
478	3082
138017	5617
82984	2137
106261	7140
132956	3033
161048	8348
198917	5430
105902	6169
161020	6863
106590	56848
106199	5256
531	673
82994	340485
121494	5350
106029	2243
463	1026
187084	7311
309	30833
169306	84647
83067	3691
198917	661
106010	5701
105825	5701
534	940
106074	2197
198806	5594
106574	9295
106355	2261
160943	5711
132956	2747
160139	5600
131126	23417
105851	4968
83042	5170
138015	10217
106026	920
160977	8202
483	2982
83055	56475
83032	1565
105797	5716
123008	55276
105808	9814
82944	8833
105812	6232
106356	2863
198916	7498
509	3709
106590	3984
106199	5207
520	1956
137916	6597
119548	2847
106249	81034
501	1398
105797	5693
105902	6229
82956	83852
106398	3146
102181	5338
119550	728458
161020	4828
83067	7450
106057	2159
453	4437
96866	284541
153910	3117
198903	89
436	23461
124832	58517
106552	3014
161020	23620
299	1109
198886	4923
105724	9060
138017	6776
198759	817
198799	6908
106427	6009
132956	8612
83069	7412
106448	4792
187355	5362
160971	644
456	2257
137979	2099
119548	119692
106356	79345
83092	148327
198879	5295
119571	6533
83083	653361
106230	63971
99051	399694
105995	905
83065	64218
161020	5031
106387	4793
105902	6146
106077	6128
106144	9420
106565	5451
138078	7534
105973	23521
170720	6518
198897	4988
82964	26
83125	3575
83045	5425
106404	5609
105689	5594
83066	3845
509	5332
106034	208
198845	2475
198900	7124
105902	6157
160944	5709
198758	2593
83071	137075
187085	3665
106495	108
83065	2049
106356	10125
427	54579
160135	5604
106028	8353
160959	2255
106465	5605
106417	2533
365	64600
83035	10351
83048	3305
106030	51206
105692	3265
105941	2967
124832	51690
106387	7100
106439	396
303	527
527	4312
512	5436
106097	2786
161046	1739
82930	5209
83038	6882
124832	4116
187098	3661
488	1437
128670	10850
161051	5432
198851	6853
96530	552
105688	1457
198845	6199
169348	9564
106241	10694
106196	5261
105973	6203
105739	5689
503	994
106397	246330
173973	3455
531	5894
106196	22934
465	894
106475	7249
137953	1432
516	25
137992	5770
167325	27248
198782	23624
106549	9013
